agent,cooperation_rate,game,mechanism,run_dir
qwen/qwen3-next-80b-a3b-instruct(CoT),0.075,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.0,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.0,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.22,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.7777777777777778,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.18181818181818182,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.16666666666666666,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.9,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.0,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.0,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.0,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
