agent_i,agent_j,coop_i,coop_j,game,match_id,mechanism,points_i,points_j,run_dir,seat_i,seat_j
deepseek/deepseek-chat-v3.1(CoT),deepseek/deepseek-chat-v3.1(CoT),0.14285714285714285,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|deepseek/deepseek-chat-v3.1(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-5-nano(CoT),0.5,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-5-nano(CoT),Mediation,1.25,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|openai/gpt-oss-20b(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
deepseek/deepseek-chat-v3.1(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.5,nan,PrisonersDilemma,deepseek/deepseek-chat-v3.1(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Mediation,1.75,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),deepseek/deepseek-chat-v3.1(CoT),0.5,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|deepseek/deepseek-chat-v3.1(CoT),Mediation,1.25,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-5-nano(CoT),0.14285714285714285,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-5-nano(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|openai/gpt-oss-20b(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-5-nano(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.5,nan,PrisonersDilemma,openai/gpt-5-nano(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Mediation,1.25,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),deepseek/deepseek-chat-v3.1(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|deepseek/deepseek-chat-v3.1(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-5-nano(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-5-nano(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),openai/gpt-oss-20b(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|openai/gpt-oss-20b(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
openai/gpt-oss-20b(CoT),qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,nan,PrisonersDilemma,openai/gpt-oss-20b(CoT)|qwen/qwen3-next-80b-a3b-instruct(CoT),Mediation,1.0,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
qwen/qwen3-next-80b-a3b-instruct(CoT),deepseek/deepseek-chat-v3.1(CoT),0.5,nan,PrisonersDilemma,qwen/qwen3-next-80b-a3b-instruct(CoT)|deepseek/deepseek-chat-v3.1(CoT),Mediation,1.75,nan,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,0,0
