agent,game,mechanism,p_coop_given_opp_C,p_coop_given_opp_D,reciprocity_index,run_dir
qwen/qwen3-next-80b-a3b-instruct(CoT),PrisonersDilemma,Mediation,0.0,0.3333333333333333,-0.3333333333333333,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),PrisonersDilemma,Mediation,0.0,0.3333333333333333,-0.3333333333333333,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),PrisonersDilemma,Mediation,0.0,0.0,0.0,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),PrisonersDilemma,Mediation,0.5,0.0,0.5,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),PrisonersDilemma,Disarmament,1.0,0.5,0.5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),PrisonersDilemma,Disarmament,0.0,0.0,0.0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),PrisonersDilemma,Disarmament,0.0,0.25,0.0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),PrisonersDilemma,Disarmament,1.0,0.0,0.0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),PrisonersDilemma,ReputationPrisonersDilemma,0.0,0.0,0.0,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),PrisonersDilemma,ReputationPrisonersDilemma,0.0,0.0,0.0,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),PrisonersDilemma,Repetition,0.0,0.0,0.0,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),PrisonersDilemma,Repetition,0.0,0.0,0.0,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),PrisonersDilemma,Repetition,0.0,0.0,0.0,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),PrisonersDilemma,Repetition,0.0,0.0,0.0,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
